GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bugtrackingsystem,com.project.bugtrackingsystem,BugtrackingsystemApplication,15,0,0,0,5,0,3,0,3,0
bugtrackingsystem,com.project.bugtrackingsystem.service,ProjectServiceImpl,54,125,4,4,9,24,6,10,2,10
bugtrackingsystem,com.project.bugtrackingsystem.service,UserServiceImpl,6,44,1,1,1,9,1,4,0,4
bugtrackingsystem,com.project.bugtrackingsystem.service,BugServiceImpl,125,82,4,4,25,14,14,6,12,4
bugtrackingsystem,com.project.bugtrackingsystem.service,DeveloperServiceImpl,67,79,3,1,14,14,6,5,4,5
bugtrackingsystem,com.project.bugtrackingsystem.service,TestEngineerServiceImpl,52,55,1,3,10,11,4,5,3,4
bugtrackingsystem,com.project.bugtrackingsystem.entity,TestEngineer,113,11,20,2,4,2,19,2,8,2
bugtrackingsystem,com.project.bugtrackingsystem.entity,User,195,144,44,18,1,10,36,15,6,14
bugtrackingsystem,com.project.bugtrackingsystem.entity,Project,200,53,40,6,5,4,30,9,8,8
bugtrackingsystem,com.project.bugtrackingsystem.entity,Bug,457,11,84,2,12,2,67,2,24,2
bugtrackingsystem,com.project.bugtrackingsystem.entity,Developer,113,11,20,2,4,2,19,2,8,2
bugtrackingsystem,com.project.bugtrackingsystem.exception,UserNotAvailableException,4,0,0,0,2,0,1,0,1,0
bugtrackingsystem,com.project.bugtrackingsystem.exception,BugException,0,4,0,0,0,2,0,1,0,1
bugtrackingsystem,com.project.bugtrackingsystem.exception,ProjectException,4,0,0,0,2,0,1,0,1,0
bugtrackingsystem,com.project.bugtrackingsystem.exception,ErrorDetails,41,0,0,0,15,0,8,0,8,0
bugtrackingsystem,com.project.bugtrackingsystem.exception,GlobalExceptionHandler,12,0,0,0,4,0,4,0,4,0
bugtrackingsystem,com.project.bugtrackingsystem.util,Severity,21,0,0,0,2,0,1,0,1,0
bugtrackingsystem,com.project.bugtrackingsystem.util,BugStatus,33,0,0,0,2,0,1,0,1,0
bugtrackingsystem,com.project.bugtrackingsystem.dto,ProjectDTO,233,20,43,3,6,3,34,5,12,4
bugtrackingsystem,com.project.bugtrackingsystem.dto,DeveloperDTO,111,13,19,3,4,2,18,3,8,2
bugtrackingsystem,com.project.bugtrackingsystem.dto,TestEngineerDTO,111,13,19,3,4,2,18,3,8,2
bugtrackingsystem,com.project.bugtrackingsystem.dto,UserDTO,319,20,59,3,8,3,46,5,16,4
bugtrackingsystem,com.project.bugtrackingsystem.dto,BugDTO,448,20,83,3,11,3,64,5,22,4
bugtrackingsystem,com.project.bugtrackingsystem.controller,DeveloperController,43,0,0,0,11,0,7,0,7,0
bugtrackingsystem,com.project.bugtrackingsystem.controller,BugController,57,0,0,0,13,0,11,0,11,0
bugtrackingsystem,com.project.bugtrackingsystem.controller,ProjectController,42,0,0,0,10,0,7,0,7,0
bugtrackingsystem,com.project.bugtrackingsystem.controller,TestEngineerController,41,0,0,0,11,0,6,0,6,0
bugtrackingsystem,com.project.bugtrackingsystem.controller,UserController,18,0,0,0,4,0,4,0,4,0
bugtrackingsystem,com.project.bugtrackingsystem.configuration,SwaggerConfig,36,0,0,0,13,0,3,0,3,0
